Name,HighestDegree,Division,DivisionAddress,PersonalAddress,Email,PhoneNumber,Department,JobTitle,JobDescription,Salary,Birthdate,SocialSecurity
JEremY owENs,AB,,"789 EASt BlvD, AlbAny, NY 12201","9690 lAUra ROW
jONeSshIre, wY 00820",JEreMy_OwEns@KLB..CoM,568.838.4123x6111,Operations,OpErATIonS ASSOCiaTE Level 2,"PerFORms PrOduCTion AnD opERationAL taSks wiTHin tHE eAsT DiVIsIOn, ENsuriNG QuALITy and EfFiCIenCy in ProcesSeS.",34531.73,2001.7.23,587/27/919
kElsey FErNaNDez,BS,East Division,"789 eAsT BlVd, aLBaNY, Ny 12201","8791 JoHnSOn unIoNs
wHItEmouTh, PR 10663",KelseY_feRnAndEZ@Klb.com,001-476-809-3201,Administrative,SECReTary LeVel 3,"ProviDeS AdMINiSTratIvE SUpPOrt wItHIN the EAST dIvISIoN, AsSiSTiNg wItH sCHEDULiNG, dOCuMenTAtIoN, ANd CommUnIcation TAskS.&",,1988-04-17,466 81 855@
KAThlEEN staFford#,HS,South Division,"456 SoUTh ave, aUSTin, tX 73301","2931 sAbRiNA PArKWay
GRAntmOUTH, CO 18964!",KAthleeN_sTafFORD%klb.cOm,3424563443,Operations,oPeRatIoNs assoCiatE LEvEl 6,,,17-1977-1,721/55/95855
RyAn valdeZ#,HS,Central Division,"202 maIn st, cOlumbUS, oh 43085*","09844 wilsoN tRaIl
andreWbErg, FM 36632%",rYan_VAldeZ@klb.COm,+1-649-997-8758x9694,Operations,oPERAtions aSsoCiaTE leVel 9,"pErFORMs PRodUctION aND OperAtiONal tASkS WIThin THe CENtrAL DIvisiOn, ENSURiNg QuAliTY And EFFicieNCY iN prOceSSES.*",42832.86,1994/2/9,111 10 92702
kYLe bRoWn mD,CTE,South Division,,"554 zaChary eStatE
HeATHeRbURGH, oR 35833",KYlE_bROwN_Md%kLB..COm,280.502.4126,Operations,opeRaTIONs aSSoCIATe LevEl 5^,"PerFoRMS PRODuctioN And OPEraTIoNAl taSkS witHin THe soUTh diVISION, ensUriNg quaLiTY AnD efFIciENCy IN proceSses.%",31340.87,1991.7.27,316 24 52788^
brANDon mEYEr,BS,East Division,"789 eaST BLVd, AlBany, NY 12201^",,brANdON_MEyeR@KLB.COm,(626)665-7540x17209,Operations,OPERatiOnS aSSOCiatE LeVel 1,"PErForMs ProductIon aND OpERaTIOnAL taSKS wItHIN The EasT diVisiOn, ENSUrING QuaLity AnD eFfiCiEnCY In proCESseS.*",27734.48,3.16.1969,241-07-244
jasOn BULLoCK*,CTE,Central Division,"202 mAiN sT, ColumbuS, oh 43085!",,JASoN_bULlOCK@klb.Com,7532439744,Operations,opERAtiONS AsSOcIaTE lEvEl 3%,"pErForMs prOdUctIOn And oPEratIOnal tASks WithiN thE ceNtRal DiVIsIoN, enSuriNg QUALitY and eFFIcieNcY In pROcesses.@",33666.62,21-6-2002,172-98-51391
paULA zaVaLA,PhD,Central Division,,"5801 archEr pLAZA APT. 425
nEw MaRycHESter, la 95429",pAULa_zAvALA#KLb..cOm,650-654-4644,Engineering,engIneeRING ManAgEr leVEl 1&,"LEAdS ENgiNEERiNg teAmS, MoNItORs pRojECt pROgrEsS, AND eNSUres tiMeLy delIVErY AS EnGinEERiNg maNAGEr LeveL 1.@",160494.95,1967-12-22,657 45 14673
MARk SHORt!,GED,Central Division,"202 mAIN st, ColumBus, OH 43085","67167 alLen inleT sUItE 816
JosePHtOWN, Me 89986#",MarK_sHORT@KlB.com,001-249-998-7566x2235,Operations,oPeRAtiONs AsSoCiaTe leVEl 8,,38193.8,2001/4/25,754-51-15324!
AMbER fiTzpaTRICK,CTE,East Division,"789 EaSt BLvD, ALBaNy, Ny 12201","70346 floRES dAlE
east bRAnDiLaND, Nj 77717",AmBEr_fiTZPatrick@KLb.COM,(573)271-2391,Operations,,"Performs pROductiOn AND operATiONAl TASKs WiThIn tHE EAsT DivisiON, EnsURinG QUalIty aND EffiCIeNCY IN PROcEsseS.!",32380.58,1988.02.26,250 10 121
AMBER Moran@,CTE,,"789 EASt BlvD, aLBANy, NY 12201",,AmBer_MOraN!klb.coM,(200)797-7537x38935,Operations,OpErATiOns aSSoCiaTE lEvEl 1,"pERForMS pROductIon aND opERatIoNaL tasKS WiThIn thE East dIvIsION, ENsurinG QUaLIty aNd effICIencY iN ProCesSeS.",32120.5,20.1999.12,566 49 4314
melIssA Curry%,PhD,Central Division,,"7961 bARbarA PiKe
GUerRAsIDE, MN 49352!",MeLiSsA_cUrrY@kLB.COM,(958)285-9621x08156,Engineering,engINeeR LeVel 2$,"wORKS on tEcHnicAl ProJEcTS, enSuReS cOmPlIAnCe WITH safEty StandaRdS, aND proVIdEs ENgInEEring sOLUtIons aS ENgineeR LeVEL 2.*",82279.32,25.1978.10,540 45 6453
anNE nGUYeN@,CTE,West Division,"101 wesT dR, saCrAMeNto, Ca 94203","243 liSA lOcKS suite 237
SOUtH mEliSSastaD, tn 57087",annE_NGuyEn@kLb.com,+1-616-228-3792,Operations,OPerATIoNS assoCiAtE leVeL 6,"PErfoRMs pRoDuCTIOn AnD OPErAtIoNal TaSKs WitHin tHe wesT DIVIsIOn, ensuRing QUALity aNd EfFIcieNCy In pROcEsSeS.*",40255.01,01.1999.01,324-07-24247
juAN may&,AB,East Division,"789 eaSt blVd, albany, Ny 12201@","Psc 1078, boX 9531
aPo ap 47752#",JUaN_MAy@KlB..com,001-759-784-8294x63754,Operations,OpeRatIONS assoCiATe LeVel 6,,36076.36,23.2.2001,333 83 114
GEoRGe jORdAN&,BS,South Division,,"3566 THeresA WEll SUite 107
HarDyberG, ak 79394",geORGe_jOrDAn@klb..Com,884-535-7978,Administrative,SeCreTarY LeVeL 1,"PROvIDeS AdMinisTRaTive SUPPorT wiThIN thE sOutH dIVISIon, ASSisTING WItH sCheDuLiNg, DoCumentatIOn, and CoMMuNIcATioN tASKs.",,10-1964-2,654/42/0273&
MARcus TUcKER,MS,West Division,"101 wEST dr, SACrAmEnto, cA 94203^","658 LAURen RUn SuItE 395
LAKe melaNiElAnd, Oh 09383#",marcus_tUcKER%kLb.COM,+1-227-962-6441,Operations,OpERATIONs LEad lEVEl 5*,,90105.69,9-4-1980,817 08 169
cOUrtNeY riCHARd%,HS,North Division,"123 north St, springFieLD, IL 62701@","500 rOMerO MiSSION
caMAChomoUTH, AL 05031$",CouRTNEY_ricHard%klB.COM,001-653-457-6036x73361,Operations,OPeRATiOns assoCiate lEVel 2,"PerfoRms ProdUcTiON AnD oPErATiOnAL tasKS WiThIN tHE noRtH DIviSion, eNsURing qUaliTY anD eFfIciENCY IN PRoceSSES.@",32773.48,,484 36 13862
STEpHeN chAVez,GED,South Division,"456 SOUth aVe, AUsTIN, tx 73301$","66533 PhiLIP mill SuItE 395
jonathAnmouth, MI 55970!",,925.942.7718x55168,Operations,OpeRAtIons AssoCIaTE lEvEL 3,"PErFORms ProDuctIoN aNd oPERAtIonAl taSks WitHIn thE soUTh DIvISIOn, EnSUrINg QuALItY And EFFIciENCY IN PROcEsseS.",29103.56,1971-08-28,017 09 9117
adrIaN jONES,CTE,East Division,,"PSC 8587, bOX 1570
APO aP 97407#",adRIan_Jones@kLb.coM,001-211-431-9983,Operations,OPerATIoNS ASsoCiAtE LeVEl 4$,"PERFOrmS pRodUctIon ANd opeRATIOnaL tASks WItHIn thE EASt dIVisiON, eNsuRIng quALity aND efficiEncy IN PRocEssES.",31679.36,2000.9.2,774-58-215
jOnaThAN morriS!,GED,West Division,,"UScgC scoTT
FPo aP 83218",JoNAtHAN_mOrrIS@KlB.Com,(489)542-5993x06908,Operations,OpERaTiOnS asSOCiaTe lEVeL 1,"peRfOrmS PRoduCtiOn and OperATiONal TasKS wiTHin thE WesT dIViSioN, eNSUrIng QUAliTY AnD EFFicIEncY IN prOcESSEs.",29867.51,,344-25-29716
rEBECCA BarNeS,BS,South Division,"456 SouTH AvE, auSTIn, Tx 73301^","86741 mCGuIre MOtORWay
PorT cHRIstOPHer, VI 69051*",REbEcca_BarNes@KlB.COM,(404)478-8255x661,Operations,oPErATIOnS ASSocIatE LevEl 2!,"PERForMs PrODucTION aND oPeRATIonAl taskS WITHin tHe sOUTh DiVISION, eNSUrINg qUaLITY aND EfFiCIEncy iN PROcESses.%",29501.41,1989-2-22,051/67/243
TRAvIS BulLocK$,CTE,South Division,"456 SoUTH ave, AuStIn, tx 73301","4814 mOntOya run Apt. 352
WeST RIChARDBerG, Il 88496",TRAviS_bulLOCK@klb.COm,+1-724-774-6879x2718,Operations,oPEratioNS assoCIaTe LeVEL 1!,"PErForms PROdUcTION aNd opERaTionaL tAsks WiThiN the soUth dIviSIoN, EnSURiNG quAlItY aND EFFiCIenCY in PrOCesseS.",,1973-10-2,236/60/0889
anDrEW eLLiS$,BA,West Division,"101 wEST dR, sacrAMeNTO, CA 94203&","09954 andrEa MotOrWAY
wEST VaLerIE, WA 96147*",ANDREW_ELlIS@KLB..cOM,+1-966-286-6798x994,Administrative,sECRETARY leVel 5,,45545.41,,718 14 74979*
AndREW simPsON%,GED,Central Division,"202 mAin St, cOluMBus, OH 43085","43457 lamb rIdGE
Coxfurt, cA 43610",ANdrEW_simpson@KLB.Com,694-579-3579,Operations,operATiONs asSOCIATE LeveL 4,"pERfORmS PrODuCTiON anD OPERaTIONaL TAsKS wIThin thE centraL DIvIsion, EnsURIng quAlitY ANd EfFICIEncY in ProCeSSes.^",38222.73,5/25/1971,741/89/54275
pAUl HalL,AB,East Division,,"96906 MORAlES sqUARe
NEw glEnNHavEn, ND 36967",,+1-987-345-5135x872,,SEcREtaRY LEVEL 6,,47888.53,10/1994/05,
BRittANy khaN$,HS,North Division,"123 NoRtH st, SPRinGfIeLD, il 62701@","0941 NICOLE porT SUITe 545
wesT hEatheR, ct 58781^",BRIttANY_khaN@KlB..coM,,,OPErATIoNS ASSocIatE LeVel 5,"peRformS pRODucTiOn AND opeRATiONAL taSkS WiThIN the NORTh diVISiON, eNsURInG QuAlitY anD eFfIcIENCY IN PrOcESsEs.#",33379.51,2003/9/9,631 62 6075
